Number,Date,Tortilla,Cheese,Bean,Green,Sauce,Meat,Veggie,Restaurant,Seasoning,method,Other
331,27-Nov,azul/pan/sweet potato,tillamook extra sharp white/monterey jack,,,hummus,,tomato,,,,
332,28-Nov,oreo/flour/corn,cream,,,,,,,,,
333,29-Nov,azul/pan/nutritional yeast,tillamook extra sharp white/monterey jack,,,victoria,,,,,,
334,30-Nov,azul/pan,Monterey Jack,,,mayonnaise/hummus,tuna,,,,,
335,1-Dec,azul/pan/corn starch,tillamook extra sharp white/monterey jack,,,,,,,,,
336,2-Dec,azul/pan/corn starch,tillamook extra sharp white/monterey jack,black,,,,,,,,
337,3-Dec,azul/pan/corn starch,tillamook extra sharp white/monterey jack,,,sriracha,egg,,,,,
338,4-Dec,azul/pan/corn starch,tillamook extra sharp white/monterey jack,,,guacamole,,,,,,
339,5-Dec,azul/pan/corn starch,tillamook extra sharp white/monterey jack,black,,,,,,,,some
340,6-Dec,azul/pan/corn starch/brown butter,tillamook extra sharp white/monterey jack,,,bbq,,,,,,
341,7-Dec,pan/plantain,tillamook extra sharp white/monterey jack,,,,,,,,,
342,8-Dec,pan/azul,tillamook extra sharp white/monterey jack,black,,peanut butter,,,,,,
343,9-Dec,oreo/flour/corn,tillamook extra sharp white,,,,,,,,,
344,10-Dec,pan,tillamook extra sharp white,,,,,avocado,,,,
345,11-Dec,azul/pan,tillamook extra sharp white,,,,,tomato,,,,
346,12-Dec,azul/pan,tillamook extra sharp white,,,bbq,,avocado,,,,
347,13-Dec,azul/pan,tillamook extra sharp white,,,mayonnaise,,avocado,,,,
348,14-Dec,azul/pan,tillamook extra sharp white,black,,,,,,elote/garlic,,
349,15-Dec,azul/pan,outer tillamook extra sharp white,,,,,,,,,
350,16-Dec,azul/pan/corn starch,havarti,,,,,,,,,
351,17-Dec,flour,tillamook sharp white/cache monterey,,mustard,blackberry salsa,,avocado/cucumber/tomato,,,,
352,18-Dec,raw,feta/cache monterey/tillamook sharp white,lentils,,,,sweet potato/avocado,,lime juice,,
353,19-Dec,azul/pan,tillamook sharp white/cache monterey,,,blackberry salsa,,avocado/tomato/cucumber,,,,
354,20-Dec,flour,cache monterey,black,mustard,mayonnaise/blackberry salsa,,yellow squash/avocado,,garlic salt/lemon juice,,
355,21-Dec,flour,sharp cheddar,black,mustard,mayonnaise/blackberry salsa,,yellow squash/avocado,,garlic salt/lemon juice,,
356,22-Dec,flour,havarti,,mustard,blackberry salsa,,,,,,
357,23-Dec,azul/pan,havarti,,,,,mushroom,,,,
358,24-Dec,flour/azul/pan,havarti/sharp wisconsin,,,pico,,avocado,,,,
359,25-Dec,raw,edam/sharp cheddar,,,,beef,,,,,
360,26-Dec,pan/azul,edam,,,,,,,,,
361,27-Dec,pan/azul/agar,gruyere/sharp cheddar,,,,,,,,,
362,28-Dec,kamut/lard,gruyere/sharp cheddar,,,,,onion,,,,
363,29-Dec,raw,gruyere/sharp cheddar,,,,kielbasa,,,,,
364,30-Dec,kamut/lard,edam,,,mango chutney,,,,,,
365,31-Dec,azul/pan,tostitos/cottage,black eyed peas,,,catfish,,,,,
